file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparatorPriority,innerclass,1,1,0,1,7,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,5,5,0,1,2,0,0,0,6,1,0
C:\automail-service-main\Automail\src\exceptions\ItemTooHeavyException.java,exceptions.ItemTooHeavyException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0
C:\automail-service-main\Automail\src\automail\Robot.java,automail.Robot$RobotState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\automail-service-main\Automail\src\simulation\IMailDelivery.java,simulation.IMailDelivery,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\automail-service-main\Automail\src\automail\ModemAdapter.java,automail.ModemAdapter,class,1,2,1,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparator,innerclass,1,1,0,1,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,3,3,0,1,1,0,0,0,5,1,0
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,class,7,13,6,7,12,1,0,17,0,0.5416667,0.6,1.0,6,0,5,1,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,98,1,1,0,1,1,0,3,10,0,9,3,0,3,0,90,1,0
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,class,4,8,4,4,12,1,0,12,11,0.76363635,0.3888889,1.0,10,0,9,1,0,0,9,0,0,0,11,4,0,11,0,0,0,0,0,80,8,0,0,0,3,0,16,28,11,22,2,0,0,0,98,1,0
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,class,2,11,9,2,12,1,0,8,31,0.77272725,0.18181819,0.29090908,11,0,11,0,0,0,11,0,0,0,8,2,0,2,6,0,4,0,2,53,7,0,1,0,0,1,1,12,1,11,1,0,0,0,70,1,0
C:\automail-service-main\Automail\src\simulation\Building.java,simulation.Building,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,2,0,0,5,0,0,0,0,0,0,2,2,0,3,0,0,0,0,27,1,0
C:\automail-service-main\Automail\src\exceptions\ExcessiveDeliveryException.java,exceptions.ExcessiveDeliveryException,class,0,1,1,0,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1,0
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,class,0,3,3,0,10,1,0,1,3,0.6,0.46666667,1.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,0,0,1,39,5,0,0,0,0,1,0,8,0,4,0,0,0,0,56,1,0
C:\automail-service-main\Automail\src\exceptions\MailAlreadyDeliveredException.java,exceptions.MailAlreadyDeliveredException,class,0,1,1,0,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,class,4,6,2,4,15,1,0,17,3,0.6530613,1.0,1.0,7,0,3,4,0,0,3,0,0,0,7,0,2,5,0,0,3,0,3,71,4,2,1,0,1,1,9,21,9,18,2,0,0,0,107,1,0
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$Item,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,2,0
C:\automail-service-main\Automail\src\automail\Robot.java,automail.Robot,class,9,14,5,9,34,1,0,15,2,0.7569445,0.5,1.0,12,0,8,4,0,0,8,0,0,0,12,1,2,8,1,1,2,0,5,122,4,0,13,0,6,5,6,23,1,13,3,0,1,0,127,1,0
C:\automail-service-main\Automail\src\simulation\Simulation.java,simulation.Simulation$ReportDelivery,innerclass,6,6,0,6,4,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,1,0,2,0,1,0,0,2,0,0,0,31,8,0
C:\automail-service-main\Automail\src\automail\Automail.java,automail.Automail,class,3,5,2,3,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,9,0,1,0,0,0,0,1,4,0,3,1,0,0,0,11,1,0
C:\automail-service-main\Automail\src\simulation\Clock.java,simulation.Clock,class,0,4,4,0,2,1,0,0,0,0.5,1.0,1.0,2,2,2,0,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,10,1,0,0,0,0,0,1,1,0,2,0,0,0,0,26,1,0
C:\automail-service-main\Automail\src\simulation\StatisticsTracker.java,simulation.StatisticsTracker,class,4,5,1,4,4,1,0,9,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,0,41,0,1,0,0,0,6,6,19,0,10,1,0,0,0,70,1,0
C:\automail-service-main\Automail\src\simulation\Simulation.java,simulation.Simulation,class,11,14,3,11,15,1,0,34,6,0.6666667,0.33333334,0.33333334,5,5,3,2,0,0,3,0,0,0,9,9,0,9,0,0,0,0,18,134,3,2,5,3,3,34,10,26,12,21,3,0,1,0,96,1,0
